text,label
@SouthwestAir you're my early frontrunner for best airline! #oscars2016,1
@USAirways how is it that my flt to EWR was Cancelled Flightled yet flts to NYC from USAirways are still flying?,-1
@JetBlue what is going on with your BDL to DCA flights yesterday and today?! Why is every single one getting delayed?,-1
"@JetBlue do they have to depart from Washington, D.C.??",0
@JetBlue I can probably find some of them. Are the ticket #s on there?,-1
@united still waiting to hear back. My wallet was stolen from one of your planes so would appreciate a resolution here,-1
@united Yes my flight was rebooked. I'm just losing trust in you if I want to get anywhere on time.,-1
@JetBlue Thank you ! What about Paris ? Could we arrange something from there ?,0
"@united not 100% sure, however my ticket included one checked bag, therefore this charge was extra and completely unanticipated.",-1
"@usairways great crew for flight 504 PHX to YVR tonight! Friendly, efficient. Awesome job.",1
@USAirways I've been on hold to change a date on a ticket for over 3 hours. Can someone please assist me? Unacceptable.,-1
@SouthwestAir I DM'd you,0
@SouthwestAir Already signed up!  Thanks!  Looking forward to trying the Southwest experience.,1
@SouthwestAir it was 3472,0
@USAirways Oh well. I'll get to Cancun eventually.,1
@USAirways flight 837 passengers stuck on plane in Philly. Where is the gangway?  We can't hear the pilot,-1
"@AmericanAir No, had already waited an hour for it and wanted to get home.",-1
@SouthwestAir thanks for the quick response. Should I call daily it wait the 5 days.,1
@JetBlue now we dont have enough money for parking in your garage this is your fault and im not paying for what should be 10mins into 3hrs,-1
@JetBlue 266 at LGB in Sunny So Cal http://t.co/V015PK7DSi,0
@AmericanAir @yvonneokaka When do I get my personal response and apology for your crew's having forgotten to load baggage onto my flight?,-1
"@JetBlue No, he didn't have more info. I was more infuriated by the way previous rep treated me. how she can possibly work as a JetBlue rep?",-1
@united is a money sucking airline with terrible terrible customer service,-1
@AmericanAir and btwn gate a8 &amp; a15 I lost a diamond earring #dayjustgotWORSE! Pls have maintenance look for it!! http://t.co/UieSR3GHHO,0
"@USAirways #ShoutOut 2 Kristie(sp?) from Gate4 @ PVD today. She's a #RockStar, was a tremendous help in a tough situation. #PromoteThatGirl",1
"@USAirways My family, friends and colleagues will NEVER  fly USAir again. Bad weather happens. The good airlines seem to communicate better.",-1
"@JetBlue we have just landed, thank you anyway. Btw, flight staff on flight 654 were wonderful despite their full day and heavy load.",1
@JetBlue @airbusintheus A320 landing @aruba_airport in February of 2014. #avgeek #warmweather https://t.co/Kaej9G0CHd,0
"@SouthwestAir Ahhhh! Sorry, just followed.",0
@AmericanAir the ticket is a poor gesture of goodwill (for missed trip) to a top status flyer - I may not next time (AA91 LHR-ORD 2/16),-1
"@USAirways : When You've Got to Get There, We've Got Excuses! #usairwaysfail",-1
@JetBlue I'll pass along the advice. You guys rock!!,1
